event_t,rgb_t,iou_t,alpha,weighted_box,map50
0.2,0.1,0.6,0.5,False,0.5457
0.1,0.1,0.6,0.5,False,0.5457
0.1,0.3,0.3,0.2,False,0.5457
0.1,0.1,0.3,0.2,True,0.5456
0.2,0.2,0.3,0.2,True,0.5456
0.1,0.2,0.3,0.2,True,0.5456
0.2,0.1,0.3,0.2,True,0.5456
0.4,0.1,0.4,0.1,False,0.5455
0.4,0.1,0.5,0.1,False,0.5455
0.1,0.1,0.3,0.2,False,0.5455
0.2,0.2,0.3,0.2,False,0.5455
0.1,0.2,0.3,0.2,False,0.5455
0.2,0.1,0.3,0.2,False,0.5455
0.3,0.2,0.3,0.2,True,0.5454
0.3,0.1,0.3,0.2,True,0.5454
0.3,0.2,0.3,0.2,False,0.5452
0.3,0.1,0.3,0.2,False,0.5452
0.3,0.5,0.4,0.3,True,0.545
0.2,0.5,0.4,0.3,True,0.5449
0.2,0.4,0.5,0.3,True,0.5449
0.1,0.5,0.4,0.3,True,0.5449
0.1,0.4,0.5,0.3,True,0.5449
0.3,0.4,0.5,0.3,True,0.5449
0.4,0.1,0.3,0.1,False,0.5447
0.1,0.5,0.5,0.3,False,0.5445
0.2,0.5,0.5,0.3,False,0.5445
0.4,0.1,0.3,0.1,True,0.5444
0.2,0.4,0.4,0.3,True,0.5442
0.3,0.4,0.4,0.3,True,0.5442
0.1,0.4,0.4,0.3,True,0.5442
0.3,0.3,0.5,0.3,True,0.5438
0.1,0.1,0.5,0.3,True,0.5438
0.1,0.2,0.5,0.3,True,0.5438
0.2,0.3,0.5,0.3,True,0.5438
0.2,0.1,0.5,0.3,True,0.5438
0.1,0.3,0.5,0.3,True,0.5438
0.2,0.5,0.4,0.3,False,0.5438
0.3,0.2,0.5,0.3,True,0.5438
0.3,0.1,0.5,0.3,True,0.5438
0.2,0.2,0.5,0.3,True,0.5438
0.1,0.5,0.4,0.3,False,0.5438
0.2,0.4,0.5,0.3,False,0.5434
0.4,0.1,0.6,0.3,True,0.5434
0.1,0.4,0.5,0.3,False,0.5434
0.3,0.5,0.4,0.3,False,0.5431
0.3,0.3,0.4,0.3,True,0.5431
0.3,0.4,0.5,0.3,False,0.543
0.2,0.3,0.4,0.3,True,0.543
0.1,0.3,0.4,0.3,True,0.543
0.2,0.1,0.4,0.3,True,0.5429
0.2,0.2,0.4,0.3,True,0.5429
0.3,0.2,0.4,0.3,True,0.5429
0.1,0.2,0.4,0.3,True,0.5429
0.1,0.1,0.4,0.3,True,0.5429
0.2,0.4,0.4,0.3,False,0.5429
0.3,0.1,0.4,0.3,True,0.5429
0.1,0.4,0.4,0.3,False,0.5429
0.4,0.1,0.6,0.3,False,0.5425
0.3,0.4,0.4,0.3,False,0.5424
0.3,0.3,0.5,0.3,False,0.5422
0.1,0.3,0.5,0.3,False,0.5422
